,ID_FACTURA_IESIRE,ID_TIP_FACTURA,ID_PARTENER,ESTE_TVA_INCASARE,ID_VALUTA,CURS,DATA_SCADENTA,VALOARE,VALOARE_TVA,VALOARE_TOTALA,VALOARE_NEINCASATA,ID_PARTENER_ADRESA_DESTINATIE,ID_TARA_DESTINATIE,RAPORTARE_INTRASTAT,PARTENER_TREBUIE_MODIFICAT,DATA_TREBUIE_MODIFICATA,ID_DOCUMENT_PARINTE,LIVRARE_MARFA
4,31,3,17,False,3,54.0,2022-09-23,0.0,0.0,0.0,0.0,17.0,251,False,,,,
322,2515,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
149,1590,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
223,1850,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
256,2169,3,120,False,5,2.4699999999999998,2022-09-06,0.0,0.0,0.0,0.0,90.0,251,False,,,,
47,636,3,60,False,1,1.0,2022-09-07,0.0,0.0,0.0,0.0,31.0,271,False,,,,
17,152,6,2,False,2,6.0,2022-09-19,0.0,0.0,0.0,0.0,20.0,252,False,,,,
231,2054,1,82,False,1,1.0,2022-09-25,0.0,0.0,0.0,0.0,59.0,189,False,,,1991.0,
281,2315,1,122,False,1,1.0,2022-09-15,73.92,14.04,87.96,0.0,92.0,189,False,,,,
70,798,1,66,False,11,6.75,2022-09-21,0.0,0.0,0.0,0.0,41.0,189,False,,,,
140,1249,7,70,True,1,6.0,2022-09-25,3678.4,36.78,3715.18,3715.18,45.0,189,True,,,,
75,836,3,66,False,5,2.5300000000000002,2022-09-28,10.0,0.0,10.0,10.0,41.0,189,False,,,,
351,2656,7,145,False,1,1.0,2022-10-31,0.0,0.0,0.0,0.0,105.0,189,False,,,,
186,1647,5,82,False,1,0.0,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
258,2179,1,122,False,1,1.0,2022-09-05,4.97,0.94,5.91,0.0,92.0,189,False,,,,
282,2321,1,17,False,1,1.0,2022-09-15,887.04,168.54,1055.58,1055.58,27.0,3,False,,,,
169,1611,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
83,1085,1,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,46.0,189,False,,,,
199,1668,1,82,False,3,4.8100000000000005,2022-09-15,161.64,7.9,169.54,0.0,59.0,189,False,,,,
162,1604,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
114,1185,7,70,True,5,2.5300000000000002,2022-09-04,0.0,0.0,0.0,0.0,45.0,189,True,,,,
9,48,1,17,False,1,1.0,2022-09-24,0.0,0.0,0.0,0.0,19.0,268,False,,,,
358,2950,1,163,False,1,1.0,2023-01-09,25.0,4.75,29.75,29.75,123.0,189,False,,,,
127,1218,7,70,True,1,6.0,2022-09-27,0.0,0.0,0.0,0.0,45.0,189,True,,,,
349,2649,1,17,False,1,1.0,2022-10-22,4.8,91.2,96.0,96.0,27.0,189,False,,,,
74,822,1,72,False,16,1.05,2022-09-01,0.0,0.0,0.0,0.0,49.0,189,False,,,,
137,1238,1,76,True,11,6.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
321,2427,8,66,False,1,1.0,2022-10-03,0.0,0.0,0.0,0.0,41.0,189,False,,,,
227,1923,1,83,False,1,1.0,2022-09-23,5.0,0.05,5.05,0.0,60.0,189,False,,,1922.0,
213,1798,1,79,False,16,1.04,2022-09-10,61.44,5.53,66.97,0.0,56.0,189,False,,,1797.0,
109,1178,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
232,2060,1,78,False,1,1.0,2022-09-16,0.0,0.0,0.0,0.0,55.0,189,False,,,,
244,2151,3,122,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
246,2153,3,122,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,71.0,195,False,,,,
21,408,2,2,False,2,8.0,2022-09-19,0.0,0.0,0.0,0.0,20.0,263,False,,,,
208,1680,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
51,699,4,62,False,1,0.0,2022-09-08,0.0,0.0,0.0,0.0,38.0,253,False,,,,
339,2575,6,162,False,1,1.0,2022-10-13,0.0,0.0,0.0,0.0,132.0,189,False,,,,
99,1163,1,70,False,1,1.0,2022-09-02,0.0,0.0,0.0,0.0,46.0,189,False,,,,
69,769,1,53,False,1,1.0,2022-09-29,0.0,0.0,0.0,0.0,28.0,189,False,,,,
104,1173,7,72,True,1,6.0,2022-09-01,0.0,0.0,0.0,0.0,49.0,189,True,,,,
94,1115,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
255,2168,5,117,False,7,4.95,2022-09-06,0.0,0.0,0.0,0.0,87.0,189,False,,,,
310,2368,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,36.0,189,True,,,,
235,2130,3,95,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,60.0,189,False,,,,
14,149,6,2,False,2,9.0,2022-09-26,0.0,0.0,0.0,0.0,20.0,252,False,,,,
61,709,4,61,False,2,4.95,2022-09-08,0.0,0.0,0.0,0.0,33.0,189,False,,,,
