,ID_FACTURA_IESIRE,ID_TIP_FACTURA,ID_PARTENER,ESTE_TVA_INCASARE,ID_VALUTA,CURS,DATA_SCADENTA,VALOARE,VALOARE_TVA,VALOARE_TOTALA,VALOARE_NEINCASATA,ID_PARTENER_ADRESA_DESTINATIE,ID_TARA_DESTINATIE,RAPORTARE_INTRASTAT,PARTENER_TREBUIE_MODIFICAT,DATA_TREBUIE_MODIFICATA,ID_DOCUMENT_PARINTE,LIVRARE_MARFA
139,1248,7,70,True,1,6.0,2022-09-23,22.0,0.22,22.22,22.22,45.0,189,True,,,,
278,2297,1,17,False,1,1.0,2022-09-15,73.92,14.04,87.96,87.96,27.0,251,False,,,2295.0,
18,153,2,2,False,2,7.0,2022-09-28,0.0,0.0,0.0,0.0,20.0,263,False,,,,
271,2256,1,122,False,1,1.0,2022-09-15,317.76,60.37,378.13,0.0,92.0,189,False,,,2255.0,True
135,1236,7,76,False,1,0.0,2022-09-18,0.0,0.0,0.0,0.0,53.0,189,True,,,,
211,1794,1,82,False,3,4.8100000000000005,2022-09-02,126.72,1.27,127.99,0.0,59.0,189,False,,,1767.0,
259,2190,1,83,False,1,1.0,2022-08-26,4.0,76.0,80.0,80.0,60.0,62,False,,,,
96,1144,8,70,False,1,0.0,2022-09-21,260.0,0.0,0.0,0.0,45.0,189,False,,,,
296,2347,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
80,920,1,70,True,16,1.0,2022-09-23,0.0,0.0,0.0,0.0,46.0,189,False,,,,
332,2555,1,17,False,1,1.0,2022-09-15,539.52,102.51,642.03,0.0,27.0,7,False,,,2314.0,
49,650,4,53,False,2,5.0,2022-09-28,0.0,0.0,0.0,0.0,28.0,189,False,,,,
161,1603,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
212,1795,1,82,False,3,4.8100000000000005,2022-09-15,200.0,38.0,238.0,0.0,59.0,189,False,,,,
159,1600,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
24,417,3,2,False,2,7.0,2022-09-16,0.0,0.0,0.0,0.0,20.0,253,False,,,,
108,1177,7,72,True,1,6.0,2022-09-24,0.0,0.0,0.0,0.0,49.0,189,True,,,,
214,1804,1,82,False,3,4.8100000000000005,2022-09-02,126.72,1.27,127.99,0.0,59.0,189,False,,,1803.0,
280,2311,1,17,False,1,1.0,2022-09-15,539.52,102.51,642.03,0.0,17.0,189,False,,,2308.0,
284,2323,1,17,False,1,1.0,2022-09-15,0.0,0.0,0.0,0.0,27.0,189,False,,,,
222,1849,9,78,False,1,0.0,2022-09-20,0.0,0.0,0.0,0.0,55.0,189,False,,,,
167,1609,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
312,2370,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,36.0,0,True,,,,
46,631,3,62,False,29,1.25,2022-09-02,0.0,0.0,0.0,0.0,,189,False,,,,
345,2620,1,17,False,1,1.0,2022-10-18,9.6,86.4,96.0,96.0,27.0,189,False,,,2619.0,
195,1661,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
53,701,4,62,False,1,0.0,2022-09-08,0.0,0.0,0.0,0.0,38.0,253,False,,,,
325,2518,1,173,False,5,2.52,2022-10-11,0.0,0.0,0.0,0.0,133.0,189,False,,,,
154,1595,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
356,2764,3,175,False,1,1.0,2022-11-16,0.0,0.0,0.0,0.0,135.0,189,False,,,,
254,2167,3,121,False,1,1.0,2022-09-14,0.0,0.0,0.0,0.0,91.0,26,False,,,,
353,2667,7,17,False,1,1.0,2022-10-31,0.0,0.0,0.0,0.0,27.0,189,False,,,,
313,2371,4,62,True,7,5.1,2022-09-28,0.0,0.0,0.0,0.0,36.0,189,True,,,,
160,1602,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
50,651,4,1,False,2,4.95,2022-09-27,0.0,0.0,0.0,0.0,10.0,189,False,,,,
88,1105,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
197,1664,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
110,1179,7,72,True,1,6.0,2022-09-24,0.0,0.0,0.0,0.0,49.0,189,True,,,,
85,1095,8,70,False,1,1.0,2022-09-21,0.0,0.0,0.0,0.0,45.0,189,False,,,,
224,1906,3,81,False,5,2.5,2022-09-22,0.0,0.0,0.0,0.0,58.0,189,False,,,,
100,1164,7,72,True,1,6.0,2022-09-01,16.0,3.04,19.04,0.0,49.0,189,True,,,,
153,1594,1,79,False,16,1.04,2022-09-10,77.44,6.97,84.41,0.0,56.0,189,False,,,1536.0,
56,704,3,61,False,29,1.26,2022-09-08,0.0,0.0,0.0,0.0,34.0,189,False,,,,
163,1605,1,79,False,16,1.04,2022-09-10,152.64,24.81,177.45,0.0,56.0,189,False,,,1534.0,
33,538,1,62,False,7,5.0,2022-09-30,0.0,0.0,0.0,0.0,38.0,271,False,,,,
221,1848,1,82,False,3,4.8100000000000005,2022-09-15,0.0,0.0,0.0,0.0,59.0,189,False,,,,
105,1174,7,72,True,1,6.0,2022-09-24,0.0,0.0,0.0,0.0,49.0,189,True,,,,
193,1659,1,82,False,3,4.8100000000000005,2022-09-02,161.64,7.9,169.54,0.0,59.0,189,False,,,,
13,148,4,1,False,2,8.0,2022-09-27,0.0,0.0,0.0,0.0,11.0,248,False,,,,
293,2343,1,17,False,1,1.0,2022-09-15,221.76,263.89,42.13,0.0,17.0,189,False,,,,
12,146,2,17,False,29,9.0,2022-09-19,0.0,0.0,0.0,0.0,19.0,248,False,,,,
303,2361,4,62,True,7,5.13,2022-09-22,0.0,0.0,0.0,0.0,36.0,189,False,,,,True
209,1681,1,82,False,3,4.8100000000000005,2022-09-15,100.0,19.0,119.0,0.0,59.0,189,False,,,,
